sample_name,abdominal,caudal,img_name,crosses,plates,wells
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCB7_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCB7,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_B07.tif,95-1_Female_x_72-1_Male,plate1,B7
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCB8_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCB8,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_B08.tif,95-1_Female_x_72-1_Male,plate1,B8
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCC1_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCC1,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_C01.tif,95-1_Female_x_72-1_Male,plate1,C1
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCC10_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCC10,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_C10.tif,95-1_Female_x_72-1_Male,plate1,C10
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCC12_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCC12,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_C12.tif,95-1_Female_x_72-1_Male,plate1,C12
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCC2_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCC2,13,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_C02.tif,95-1_Female_x_72-1_Male,plate1,C2
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCC4_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCC4,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_C04.tif,95-1_Female_x_72-1_Male,plate1,C4
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCC5_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCC5,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_C05.tif,95-1_Female_x_72-1_Male,plate1,C5
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCC6_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCC6,13,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_C06.tif,95-1_Female_x_72-1_Male,plate1,C6
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCC7_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCC7,13,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_C07.tif,95-1_Female_x_72-1_Male,plate1,C7
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCC9_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCC9,13,17,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_C09.tif,95-1_Female_x_72-1_Male,plate1,C9
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCD1_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCD1,13,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_D01.tif,95-1_Female_x_72-1_Male,plate1,D1
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCD10_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCD10,13,17,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_D10.tif,95-1_Female_x_72-1_Male,plate1,D10
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCD11_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCD11,13,17,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_D11.tif,95-1_Female_x_72-1_Male,plate1,D11
